Date,VIX,T-Bill_13W_Yield,10Y_Treasury_Yield,Credit_Spread
01/01/2018,16.75338816,1.01379275,2.300598313,1.286805563
02/01/2018,22.12112911,0.921701671,1.925129645,1.003427974
03/01/2018,21.06350905,1.04597886,3.093455908,2.047477048
04/01/2018,22.41202215,0.887613222,2.315705275,1.428092053
05/01/2018,26.17914224,0.607333523,2.611276412,2.003942889
08/01/2018,20.8006188,1.030573188,2.436596036,1.406022849
09/01/2018,17.74415472,0.8180786,2.572078213,1.753999613
10/01/2018,12.19546323,1.157033623,2.099006437,0.941972814
11/01/2018,19.59786764,1.155580531,2.784951571,1.629371039
12/01/2018,26.97550312,0.987509468,2.788941255,1.801431788
15/01/2018,12.44568036,1.0298635,2.70218562,1.672322119
16/01/2018,24.23807952,1.085885648,2.29712351,1.211237862
17/01/2018,28.86714973,0.934232627,2.935775053,2.001542426
18/01/2018,21.06223219,0.860069559,2.564963821,1.704894262
19/01/2018,23.38506858,1.243888805,2.868614611,1.624725806
22/01/2018,29.90124873,1.256202569,2.185474336,0.929271767
23/01/2018,24.62473869,0.480616722,2.658077612,2.17746089
24/01/2018,26.24376584,1.180872707,2.556627461,1.375754755
25/01/2018,30.61144853,0.84628888,2.419047736,1.572758856
26/01/2018,31.21994131,1.199294948,2.489577795,1.290282847
29/01/2018,23.51866196,1.125302923,2.910632047,1.785329123
30/01/2018,24.51798153,0.945045663,2.31846476,1.373419097
31/01/2018,28.35969671,1.060960568,2.569482238,1.508521669
01/02/2018,19.37729225,0.822598892,2.971100251,2.148501358
02/02/2018,17.502377,1.169394814,2.847022962,1.677628148
05/02/2018,24.80419507,1.072258771,2.08516129,1.012902518
06/02/2018,24.81207479,0.975270922,2.576565404,1.601294482
07/02/2018,24.46425099,1.145283872,2.514885121,1.369601248
08/02/2018,12.5076137,0.930920796,2.518597052,1.587676255
09/02/2018,26.63585909,1.153869786,2.526586786,1.372717
12/02/2018,28.90895206,0.890822365,2.36450294,1.473680575
13/02/2018,17.56960362,1.274592629,2.233256117,0.958663488
14/02/2018,12.68462846,1.049623952,2.079662197,1.030038246
15/02/2018,18.17260025,1.107516991,2.805914915,1.698397925
16/02/2018,20.53160743,0.940076261,2.696534397,1.756458136
19/02/2018,17.91199142,1.117993531,2.507990632,1.389997101
20/02/2018,25.00389211,1.320155458,2.91187506,1.591719601
21/02/2018,16.04517389,0.828360936,2.412632211,1.584271275
22/02/2018,22.7793077,0.937999724,2.440339142,1.502339418
23/02/2018,19.33419952,0.927017432,1.964450177,1.037432744
26/02/2018,29.69399431,0.880307512,2.531724312,1.6514168
27/02/2018,14.96568367,0.828850942,2.543003451,1.714152509
28/02/2018,22.45817882,0.956404551,2.891302383,1.934897831
01/03/2018,17.323807,0.970215003,3.066770889,2.096555886
02/03/2018,12.76819205,1.237598739,2.938797642,1.701198903
05/03/2018,20.17004429,0.717815246,2.897621818,2.179806572
06/03/2018,28.13717512,1.158829439,2.707317634,1.548488195
07/03/2018,23.74342538,0.802410333,2.172132462,1.369722129
08/03/2018,22.17224902,0.846417226,2.55357006,1.707152835
